sentence,x,y,w,l,area_percent,date,receipt_no,total,title,address,brand_name
LIKE CAFE,0.7272727272727273,0.03125,0.3636363636363637,0.052083333333333336,0.01893939393939394,0,0,0,0,0,0
"(38/10; Khuế a6; Bá OìNHl/ Hà Nội, (",0.5151515151515151,0.09375,0.5757575757575758,0.04464285714285714,0.025703463203463204,0,0,0,0,0,0
U46297419279:,0.8787878787878788,0.14285714285714285,0.21212121212121213,0.03273809523809524,0.006944444444444444,0,0,0,0,0,0
HOA ĐƠN THANH TOÁN.,0.2727272727272727,0.22767857142857145,0.5757575757575758,0.03571428571428571,0.020562770562770564,0,0,0,0,0,0
HOĐIOÓA114-46,0.060606060606060615,0.2931547619047619,0.2424242424242425,0.025297619047619048,0.006132756132756133,0,0,0,0,0,0
Bàn01 ` 19/01/2014 8:49:59H ˆ,0.060606060606060615,0.3273809523809524,0.7272727272727273,0.03422619047619048,0.02489177489177489,0,0,0,0,0,0
"str, fThực đơn ĐVT ' ĐơnGiá- “Sto Thanh Teh",0.030303030303030307,0.3705357142857143,1.0303030303030305,0.04017857142857143,0.041396103896103896,0,0,0,0,0,0
"2: Bụe sưu"" 1cộc 100.000 † 100.000),",0.09090909090909093,0.4211309523809524,1.0,0.03869047619047618,0.03869047619047618,0,0,0,0,0,0
"- Gãiphê nâu* leốc — 100.000 ï 100,006,",0.12121212121212124,0.4642857142857143,0.9696969696969696,0.04464285714285714,0.04329004329004329,0,0,0,0,0,0
"| Tướng duons Địa $5:000 1 55,000)",0.12121212121212124,0.5104166666666666,0.9696969696969696,0.0625,0.060606060606060615,0,0,0,0,0,0
- Sữa tươi ` Lcốc 100.000 1 100:000,0.12121212121212124,0.5833333333333334,0.9696969696969696,0.043154761904761904,0.04184704184704185,0,0,0,0,0,0
Trà bạc hà* lcốc 95.000 1 95.000,0.12121212121212124,0.6309523809523809,0.9696969696969696,0.04464285714285714,0.04329004329004329,0,0,0,0,0,0
“Vinntaba? Chai 90.000 1 90.000,0.12121212121212124,0.6785714285714286,0.9696969696969696,0.046130952380952384,0.044733044733044736,0,0,0,0,0,0
Tiên hàng.,0.030303030303030307,0.7276785714285714,0.18181818181818185,0.03422619047619048,0.006222943722943723,0,0,0,0,0,0
OSU YU,0.8787878787878788,0.75,0.21212121212121213,0.029761904761904764,0.006313131313131313,0,0,0,0,0,0
Giảm gìá; - 0%,0.0,0.7767857142857143,0.30303030303030304,0.03869047619047618,0.011724386724386724,0,0,0,0,0,0
Og,1.0,0.8035714285714286,0.09090909090909093,0.03720238095238095,0.003382034632034632,0,0,0,0,0,0
Tổng trên thanh toán::,0.0,0.8318452380952381,0.3939393939393939,0.04017857142857143,0.015827922077922076,0,0,0,0,0,0
